username,user_handle,date,retweets,favorites,text,geological_location,mentions,hashtags,tweet_id,permalink
ABC7 Eyewitness News,ABC7,2018-03-05 00:59,6,11,"Sorry, @SouthwestAir flyers: your in-flight alcohol just got a little more expensive! http:// abc7.la/2FcCBVr pic.twitter.com/SA1oAghc0N",,@SouthwestAir,,"970508992857255936",https://twitter.com/ABC7/status/970508992857255936
Betsy Kling - WKYC Weather,BetsyKling,2018-03-04 21:53,2,72,"Probably the first time in all my years of flying the Captain has come out himself to greet passengers pre-flight. Well done (again) @southwestair #PHXtoCLE #3454 #homewardbound http:// ift.tt/2tciUM8 pic.twitter.com/QvgUX9z1cR",,@southwestair,#PHXtoCLE #3454 #homewardbound,"970462359310536704",https://twitter.com/BetsyKling/status/970462359310536704
JL Johnson,user47,2018-03-04 17:16,1,25,"We spotted (and bought) a legacy @SouthwestAir tie at a thrift store. I believe this would be for an FA? Anyway $3 steal! pic.twitter.com/yyuuLVhD00",,@SouthwestAir,,"970392571460706305",https://twitter.com/user47/status/970392571460706305
Nick Adkins,nickisnpdx,2018-03-04 17:02,2,24,"thank u @SouthwestAir happy smiley people for getting me to Vegas! #HIMSS18 #pinksocks #SWA pic.twitter.com/dGY2bt3sV9",,@SouthwestAir,#HIMSS18 #pinksocks #SWA,"970389085985554432",https://twitter.com/nickisnpdx/status/970389085985554432
Leah Bia,BiaMused,2018-03-04 16:56,2,18,"On the way to #Pittsburgh @SouthwestAir What a beautiful sky! pic.twitter.com/s8sBf0UQVF",,@SouthwestAir,#Pittsburgh,"970387537050198021",https://twitter.com/BiaMused/status/970387537050198021
AirlineGeeks.com,AirlineGeeks,2018-03-04 16:00,22,98,"The 10,000th aircraft, a 737 MAX 8, will soon join @SouthwestAir ’s fleet as @BoeingAirplanes puts the final touches on the jet in Renton. https:// zurl.co/7DWz8 pic.twitter.com/9ZrlWYpLf3",,@SouthwestAir @BoeingAirplanes,,"970373315192852483",https://twitter.com/AirlineGeeks/status/970373315192852483
Rasu Shrestha MD MBA,RasuShrestha,2018-03-04 15:30,10,43,"#HIMSS18 ... it's go time! Love the @SouthwestAir direct PIT LAS. Limo with Vegas sun and #pinksocks feels just as good. pic.twitter.com/hHwvsS7jYZ",,@SouthwestAir,#HIMSS18 #pinksocks,"970365784047329281",https://twitter.com/RasuShrestha/status/970365784047329281
Andrew Richards,andrewintech,2018-03-04 14:23,9,28,"It’s #HIMSS18 time! GEG LAS @SouthwestAir #pinksocks #hcldr pic.twitter.com/UuuBhiAqgy",,@SouthwestAir,#HIMSS18 #pinksocks #hcldr,"970348911133995008",https://twitter.com/andrewintech/status/970348911133995008
Tom Ackerman,Ackerman1120,2018-03-04 12:27,18,170,"At the @SouthwestAir terminal in STL, there’s a display with the following attractions, in order: @mobotgarden @foxtheatrestl @StlArtMuseum @SixFlagsStLouis @Cardinals @stlzoo @GatewayArchSTL @WorldChessHOF @STLScienceCtr I’d bat the Arch 3rd, @Cardinals 4th but good lineup. :)",,@SouthwestAir @mobotgarden @foxtheatrestl @StlArtMuseum @SixFlagsStLouis @Cardinals @stlzoo @GatewayArchSTL @WorldChessHOF @STLScienceCtr @Cardinals,,"970319820091809793",https://twitter.com/Ackerman1120/status/970319820091809793
ABC7 Eyewitness News,ABC7,2018-03-04 12:27,14,20,". @SouthwestAir raising prices on alcoholic drinks for 1st time in nearly a decade http:// abc7.la/2FcCBVr pic.twitter.com/ePheKSxxzj",,@SouthwestAir,,"970319736021004290",https://twitter.com/ABC7/status/970319736021004290
