username,user_handle,date,retweets,favorites,text,geological_location,mentions,hashtags,tweet_id,permalink,col1,col2,col3
Dallas ISD Media,DallasISDMedia,2018-05-18 21:36,3,6,Check out this awesome piece on a once-in-a-lifetime experience! 40 @dallasschools students get trip to NASA on charter plane compliments of @AmericanAir . https:// twitter.com/corbettsmithdm n/status/997623355418206208 …,,@dallasschools @AmericanAir,,"9,97637181329019E+017",https://twitter.com/DallasISDMedia/status/997637181329018881,,,
🙃 dᴉlℲ,TheFlipGordon,2018-05-18 20:22,4,29,Can’t believe @delta no sold this Maybe @AmericanAir will be be more appreciative lol #HighestFlyer https:// twitter.com/theflipgordon/ status/997511231706615808 …,,@delta @AmericanAir,#HighestFlyer,"9,9761848136432E+017",https://twitter.com/TheFlipGordon/status/997618481364320258,,,
Shawna Thomas,Shawna,2018-05-18 20:15,0,15,"Hey @americanair , what does it mean when I put my reference number in the delayed baggage check site and it says the file has been closed but my bag hasn't been delivered to my hotel yet? Asking for me.",,@americanair,,"9,97616615238898E+017",https://twitter.com/Shawna/status/997616615238897667,,,
Symone D. Sanders,SymoneDSanders,2018-05-18 19:31,4,70,Why do i have status on @AmericanAir ? It seems worthless if I can’t be confirmed on the next available flight? I’m confused.,,@AmericanAir,,"9,97605628855161E+017",https://twitter.com/SymoneDSanders/status/997605628855160833,,,
Priya Mammen,PEMammen,2018-05-18 18:15,0,12,The have aligned. Returning from #SAEM18 . Flight canceled; waited patiently for possible standby; managed to get on with my peeps! And First class ! Thanks @AmericanAir . Coming back to #Philadelphia ! pic.twitter.com/ojdUanHUDv,,@AmericanAir,#SAEM18 #Philadelphia,"9,97586484986372E+017",https://twitter.com/PEMammen/status/997586484986372096,,,
The FAA,FAANews,2018-05-18 18:05,11,9,. @AmericanAir To Equip A321s with ACSS’s #ADSB In. Read the @AINonline article below. #ADSB2020 #EquipNow https://www. ainonline.com/aviation-news/ air-transport/2018-05-17/american-airlines-equip-a321s-acsss-ads-b …,,@AmericanAir @AINonline,#ADSB #ADSB2020 #EquipNow,"9,97583998825238E+017",https://twitter.com/FAANews/status/997583998825238529,,,
AirlineGeeks.com,AirlineGeeks,2018-05-18 18:00,10,39,"“With the operation of the new 787-8 in Cancun, passengers will have a cutting-edge experience with state of the art technology for comfort and entertainment.” @AmericanAir https:// zurl.co/D9wow pic.twitter.com/IYihInnpni",,@AmericanAir,,"9,97582601811611E+017",https://twitter.com/AirlineGeeks/status/997582601811611650,,,
ally la,AllyLaVerdiere,2018-05-18 17:23,1,10,"My @AmericanAir flight was cancelled due to a plane malfunction. While annoying, that doesn’t bother me. What bothers me is the way that staff were dealing with customers who were simply trying to go home. Ignoring people isn’t the course of action. Super disappointed right now.",,@AmericanAir,,"9,97573522137453E+017",https://twitter.com/AllyLaVerdiere/status/997573522137452544,,,
CBS Philly,CBSPhilly,2018-05-18 15:27,9,21,Man pulls off surprise proposal on girlfriend during @AmericanAir flight from #Philadelphia https:// cbsloc.al/2rPylqs pic.twitter.com/2jgWtieCb1,,@AmericanAir,#Philadelphia,"9,97544241021809E+017",https://twitter.com/CBSPhilly/status/997544241021808641,,,
Brian Sumers,BrianSumers,2018-05-18 14:06,19,13,We know from Cuban media that a plane crashed in Havana. Someone at the airport has said on twitter this was an @AmericanAir jet. American says all aircraft are safe and this is not an @AmericanAir jet. I'm not sure what airline it was yet. https:// twitter.com/CubaTVSITVC/st atus/997517572407996416 …,,@AmericanAir @AmericanAir,,"9,97523894411059E+017",https://twitter.com/BrianSumers/status/997523894411059201,,,
Rich,visitwithrich,2018-05-18 10:58,2,5,My dream Friday would involve getting a RT from anyone on this list. And owning a Seabourn ship. One of these is virtually impossible. ;),,,,"9,97476515498594E+017",https://twitter.com/visitwithrich/status/997476515498594304,,,
Akron-Canton Airport,CAKairport,2018-05-18 10:54,3,8,"As a result of community support, we're adding an additional frequency to Chicago aboard @AmericanAir ! http://www. akroncantonairport.com/newsroom/2018/ 05/american-airlines-continues-to-grow-at-akron-canton-airport … pic.twitter.com/mXiUoNC7AN",,@AmericanAir,,"9,97475410995753E+017",https://twitter.com/CAKairport/status/997475410995752960,,,
Stewart Chiron,CruiseGuy,2018-05-18 10:52,4,11,#FF #Travel Crew @Melodyonly @AmericanAir @RickGriffin @TravelAnswerMan @PortholeCruise @taravrussell @MrScottEddy @sidlipsey @TedNguyen @MickyArison @RachelRoams @annbrine @VenessTravelMe1 @TravelPulse @jeannewmanglock @SocialMediaMo @StayAdventurous @CamDouglasMS,,@Melodyonly @AmericanAir @RickGriffin @TravelAnswerMan @PortholeCruise @taravrussell @MrScottEddy @sidlipsey @TedNguyen @MickyArison @RachelRoams @annbrine @VenessTravelMe1 @TravelPulse @jeannewmanglock @SocialMediaMo @StayAdventurous @CamDouglasMS,#FF #Travel,"9,97474931930694E+017",https://twitter.com/CruiseGuy/status/997474931930693632,,,
TWU,transportworker,2018-05-18 10:43,10,9,TWU is proudly urging @AmericanAir to keep American Jobs in America during the #ByronNelsonClassic in Dallas this weekend! https:// twitter.com/EdwardEgrosFox 4/status/996811205237932033 …,,@AmericanAir,#ByronNelsonClassic,"9,97472737387049E+017",https://twitter.com/transportworker/status/997472737387048960,,,
Alan Reinhart,NHRAReinhart,2018-05-18 09:35,2,30,"When you get your upgrade notice from @AmericanAir for the next trip three days before you're home from this one, is that a sign that you travel too much? #LoveThisLife",,@AmericanAir,#LoveThisLife,"9,9745556223642E+017",https://twitter.com/NHRAReinhart/status/997455562236420098,,,
Melissa Falk,FeedingOffRails,2018-05-18 09:08,4,10,How to Eat Chicago in 2 Days http:// bit.ly/2Fj1hfB #FridayFeeIing #Chicago #foodiefriday #ifwtwa #chicagofood #chifoodie #chitown @AmericanAir @VisitTheUSA @Amtrak @VentraChicago pic.twitter.com/N2IXRiloTg,,@AmericanAir @VisitTheUSA @Amtrak @VentraChicago,#FridayFeeIing #Chicago #foodiefriday #ifwtwa #chicagofood #chifoodie #chitown,"9,97448850741772E+017",https://twitter.com/FeedingOffRails/status/997448850741772289,,,
